Placa,Tiene_Infraccion
ESY537,No
ZNN166,No
TTX829,No
EQZ452,No
TUN561,Sí
LJZ907,No
UQD910,No
TGA433,No
JKX438,Sí
WCS339,No
QIS200,No
LJT105,No
EQW784,No
WMA631,No
TOD410,No
SZY399,No
SKX004,No
JUZ834,Sí
WMM348,No
WGL043,No
UFW957,Sí
SXM175,No
NNL162,No
NHU315,No
LJO349,No
JKV602,No
EXZ774,No
ESP508,Sí
EQQ850,No
VEE335,Sí
TTS991,No
TGV726,Sí
LKL911,No
WNO243,No
NHP223,No
JOV663,Sí
GTX611,No
EXZ944,No
WNY653,No
WDG938,No
TSP520,No
STZ456,Sí
SPX738,Sí
SMV627,No
TEP052,No
LKK014,Sí
NNM425,No
FSU588,No
FST523,No
WDC591,Sí
SXM588,No
SSY761,No
KSP951,No
ETK746,Sí
WFD915,No
WFD131,No
TTR522,No
NOY157,Sí
WPQ799,Sí
WNX844,No
LKK784,No
LJO350,No
ERK387,No
WDZ331,Sí
UFU809,Sí
THY181,No
SZO941,No
SWL050,No
GQV676,Sí
ESK619,No
WEQ297,Sí
TRM736,No
LZM577,Sí
WOY874,Sí
GUU836,Sí
GET847,Sí
WCZ972,No
GZZ857,No
SPO290,Sí
NYO792,Sí
JKU668,No
WPV128,No
WDL934,Sí
WCP272,No
SVO075,Sí
NOS733,No
LUW983,No
LPZ516,No
TRF847,No
SOS853,Sí
SNO626,No
SNO145,No
SKN388,Sí
PSX740,No
JZX564,No
GDY574,Sí
WNO124,No
WGQ476,No
WCX265,No
STA866,No
SMD856,No
LKO727,No
JYX091,No
JUX968,No
EST956,Sí
ESQ591,No
ESP281,No
WLM857,Sí
NUX055,No
LQO729,Sí
LQK000,No
GTX463,No
GFP653,Sí
VCY513,No
TSM150,Sí
TMI404,No
TLU478,Sí
SZM221,No
NYP103,No
NOK542,No
LWL881,Sí
LUL709,No
LLQ395,No
LLO966,Sí
KPO508,Sí
JYN835,No
FST838,No
EQT298,No
WOL840,No
WCR310,Sí
VMU126,Sí
UYR093,Sí
TTY941,No
TDY741,No
STE339,Sí
PSX242,No
PPK032,No
PMX122,No
PMV091,No
PIM972,No
NUX247,No
NNN746,No
NNM926,No
LZM051,No
LPZ956,No
LGU675,Sí
JKU985,Sí
GFP705,No
ETM699,No
ESQ654,No
ERL196,No
ZNN180,No
WOS459,No
WNK333,Sí
UPP189,Sí
TZT189,No
SXY623,Sí
SNW350,No
QKL131,No
PMW694,No
NUX275,No
NOX262,Sí
NOL479,No
NHP357,No
LZO544,No
LZO543,No
LZM008,No
LPY374,Sí
LKK700,No
LCO286,No
GUU937,No
GFP808,No
GDX671,No
EXX783,No
ESP247,No
EQX301,No
EQP170,Sí
ZNM324,Sí
WNS957,No
WNQ087,Sí
WMB140,No
WHQ652,No
WEP072,Sí
WEM371,No
WCU136,Sí
VEZ337,Sí
UZC558,No
TZQ129,No
TTY711,No
TTQ056,No
TLM383,Sí
THY044,Sí
SZO832,No
SXO219,Sí
SXN578,No
SWN807,No
SNX566,No
SNW655,No
SNP962,Sí
SMO220,Sí
SMJ086,No
QJX149,No
NIN629,No
LZO078,No
LSX277,No
LQK433,No
LQK289,No
LCM364,Sí
KPO835,Sí
