Placa,Tiene_Infraccion
JKV602,No
ERK387,No
ESY537,No
SKX004,No
JOV663,Sí
WDC591,Sí
UFW957,Sí
NHU315,No
JKX438,Sí
FSU588,No
FST523,No
TTX829,No
TSP520,No
SXM588,No
SXM175,No
ZNN166,No
WMM348,No
VEE335,Sí
STV582,No
JUZ834,Sí
EXZ944,No
EQQ850,No
WCS339,No
UQD910,No
THY181,No
SPO290,Sí
NHP223,No
WNY653,No
WNO243,No
WMA631,No
SMV627,No
LKL911,No
GTX611,No
ESP508,Sí
SZY399,No
LKK014,Sí
EXZ774,No
WDG938,No
TGA433,No
LJZ907,No
LJO350,No
WGL043,No
TLU478,Sí
LJO349,No
WCZ972,No
TTS991,No
TOD410,No
NOY157,Sí
POP089,No
NNL162,No
